tempo,beat_count,rms_mean,rms_std,spectral_flux_mean,spectral_flux_std,mfcc_0_mean,mfcc_0_std,mfcc_0_delta,mfcc_1_mean,mfcc_1_std,mfcc_1_delta,mfcc_2_mean,mfcc_2_std,mfcc_2_delta,mfcc_3_mean,mfcc_3_std,mfcc_3_delta,mfcc_4_mean,mfcc_4_std,mfcc_4_delta,mfcc_5_mean,mfcc_5_std,mfcc_5_delta,mfcc_6_mean,mfcc_6_std,mfcc_6_delta,mfcc_7_mean,mfcc_7_std,mfcc_7_delta,mfcc_8_mean,mfcc_8_std,mfcc_8_delta,mfcc_9_mean,mfcc_9_std,mfcc_9_delta,mfcc_10_mean,mfcc_10_std,mfcc_10_delta,mfcc_11_mean,mfcc_11_std,mfcc_11_delta,mfcc_12_mean,mfcc_12_std,mfcc_12_delta,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,track_id
161.4990234375,69,0.23023278,0.109251045,1.3938476,1.6295182,-55.658287,56.647865,-0.018667487,87.52416,36.49203,0.01719274,7.0461555,15.451586,-0.015237861,18.81606,8.61488,0.007186187,3.5097332,7.6135764,0.0021810923,16.128384,7.25978,-0.0022834772,4.0515966,6.8802676,-0.005443057,12.332571,6.482323,-0.0010032816,0.00581015,6.728634,0.0021046146,6.4914126,7.84507,0.0017136686,0.11251926,7.3319707,-0.0047843787,5.5238447,7.3712564,-0.006246511,-0.11088105,6.9247723,-0.0034802011,0.3486498,0.21667074,0.2278945,0.30893016,0.28565028,0.8617197,0.32556307,0.265723,0.24791056,0.2540108,0.23888884,0.20564015,0PItAl4HEXoEfK5NMRCAQW
143.5546875,62,0.3628815,0.24010187,2.3818016,4.050322,-119.63054,106.98133,-0.102200136,152.61432,47.943195,-0.031195195,7.846743,22.038378,0.06844237,18.016819,13.570046,0.018848443,15.562652,11.134866,0.017306505,7.212546,11.786441,0.0072231092,3.356174,9.286363,0.012419696,11.133038,7.7090087,0.0062415283,4.8221316,7.0467377,0.014890256,1.5707246,9.589876,-0.0017532321,-0.7791968,7.3243365,0.0059234565,4.8301272,5.8295407,0.0099823605,-1.9582351,5.9985113,0.012074522,0.58013463,0.64188796,0.6381591,0.52935517,0.6002023,0.86641467,0.68142545,0.893928,0.8937839,0.68105793,0.60480565,0.64266264,443M0kCEyrSg4V7R5mtq8X
143.5546875,42,0.42716947,0.041849744,1.8072083,2.475805,-94.63449,61.94526,-0.110057876,141.1279,20.853853,0.03320067,-15.52676,11.4083,0.020579657,43.000366,5.5412364,0.021277554,6.364834,8.313107,0.040169768,25.335323,4.5320516,0.016935948,8.8017235,8.2135105,0.008316559,14.88472,4.2102857,0.007423508,9.080995,5.950093,0.019354394,11.408091,4.8671603,0.011261309,6.164109,4.2255287,0.0035162016,11.628701,4.573621,0.009009793,6.225632,8.516089,0.026865354,0.3992153,0.38257793,0.55666226,0.375103,0.6999909,0.9998395,0.8830313,0.75303316,0.74212706,0.5840199,0.4075804,0.44438195,4YGzPQSuENk8V14hs3W9xH
143.5546875,71,0.3611119,0.0984815,2.1471314,2.8060055,-87.3335,51.843254,0.16121511,125.47776,23.184364,0.016028656,1.7838076,16.779154,-0.016930686,37.40926,12.839928,-0.0063103256,17.786602,11.211733,-0.0025107225,16.681166,7.1362567,0.03140472,7.6041822,7.0103774,-0.0023027684,8.068533,6.143242,0.0009053182,5.813894,4.7012696,0.0036243836,9.893269,4.8717685,0.011361359,6.460301,5.1381392,0.011923682,5.6643157,5.0262237,0.0073506883,3.8761172,4.8721786,0.0103213815,0.4592851,0.525373,0.44256392,0.57160306,0.9181851,0.90101063,0.7854114,0.7030124,0.8349222,0.96498007,0.75256884,0.986435,40PpSTWl0OfDoue15x21OH
143.5546875,39,0.3034604,0.24642044,1.7713361,2.5902574,-203.2653,104.113335,0.19613166,92.360054,35.947506,0.09953269,42.34417,31.339584,0.06689322,39.751686,12.603713,0.039600544,16.160685,12.962694,0.022885956,14.210339,10.009371,0.018750658,11.817748,10.187422,0.019576363,12.574031,7.9696317,0.011583526,4.9243975,8.866304,0.012533458,11.540191,6.5811925,0.011600226,4.2675924,6.624307,0.0013672918,4.310752,7.9753036,0.0105674565,2.2912457,5.73743,0.013241492,0.27275842,0.23408523,0.27113616,0.44710204,0.5851093,0.35594353,0.36330843,0.6496752,0.54043114,0.33369035,0.3068882,0.29209793,51xCJIB6whswDNw6tdbF97
161.4990234375,82,0.13938533,0.06091918,1.300219,0.9499543,-118.2486,74.75593,0.32288662,88.63754,27.532509,0.07569905,0.7965742,24.86541,-0.038547486,19.882332,21.131596,0.00088948436,-16.17935,16.289415,-0.01599171,0.29998422,17.355446,-0.035578884,-5.681986,13.947164,0.00024004323,-14.749783,14.724422,0.026366547,-19.328865,14.932278,-0.01589838,-12.3523655,13.808844,-0.01109695,-15.860964,11.339856,-0.009825735,-4.609644,9.112137,-0.009974769,-9.388126,10.076645,-0.0040244,0.26462862,0.39148372,0.58665204,0.311743,0.34299645,0.36103883,0.23240508,0.32607883,0.31875595,0.5542025,0.42578778,0.2916513,1EDnEdNHoNOhaTDBEowLDH
161.4990234375,78,0.22295901,0.13702822,1.5727932,1.5719514,-5.2245717,48.76651,-0.06431145,55.120598,25.243187,-0.0017502286,-7.0793858,25.937056,-0.010514311,4.188067,17.25059,-0.006062704,-5.416856,12.936562,-0.012169975,-10.513641,14.556197,-0.0055398867,-7.734203,11.218858,-0.011640796,-6.2054477,11.014074,-0.007691146,-12.623308,11.033903,-0.014993256,-9.064701,10.376777,-0.014651963,-9.998174,9.150191,-0.018356811,-2.4563248,8.506761,-0.010595692,-8.021159,7.7206907,-0.0074062836,0.51244044,0.4478189,0.5013997,0.61235094,0.49058896,0.6117821,0.5801459,0.6847352,0.91485757,0.56630456,0.51287794,0.45832366,5QfJ0FdXn72ljBhKr3VyKA
151.99908088235293,49,0.34959728,0.13215187,1.4418238,1.2155868,15.426548,39.019188,0.019751295,50.63247,20.409588,-0.013049149,2.4861765,16.69947,0.0022186856,26.3748,10.744103,-0.00065880513,12.603092,8.980942,0.017330766,20.933998,10.266373,0.014134581,2.3536694,9.2449045,0.016164277,8.562459,8.461878,0.013275952,-0.10767924,7.662798,0.015930574,5.3167243,7.699177,0.007309707,-2.0494015,8.143121,0.008871769,2.3582933,7.9174604,0.009688294,-4.3697386,7.467864,0.016675305,0.8131546,0.7661753,0.83404833,0.7483671,0.69771075,0.7916019,0.71217567,0.687681,0.90369684,0.861803,0.7581158,0.87827253,6bs1myCEARQoI7oOLxqHkp
151.99908088235293,44,0.13881873,0.14354889,1.2444555,1.102544,-151.10083,138.97083,0.27135104,92.39296,50.36435,0.03218431,5.5388956,23.477993,0.01905196,8.218778,16.62091,0.0126941465,-15.227851,16.957466,0.012466741,-7.4966063,17.226803,0.012212504,-10.501452,12.962798,0.005652053,-7.3025694,13.989354,0.010480683,-9.637654,10.218083,0.0027695603,-3.7740884,9.289844,0.010353222,-8.190085,8.432819,0.01091102,-4.0165095,7.905637,0.012277371,-7.4176564,7.4701896,0.0049331305,0.31164214,0.2638012,0.5292907,0.37229723,0.31211272,0.42990065,0.32690796,0.7584758,0.41479954,0.5348252,0.91927016,0.44250837,145D2Gzn5X1ScHZywCmWqM
151.99908088235293,77,0.307352,0.20607391,1.7624851,2.8161204,-129.22473,109.71699,0.14622529,108.40716,44.020683,0.06582806,-2.565329,31.021852,0.03938148,24.15106,22.506191,0.013290181,-2.2689989,14.459019,0.011091361,13.945817,13.218784,0.0074491575,19.019878,21.830767,0.016952945,8.0432625,11.78729,0.0096461065,1.766277,10.127498,-0.020512305,14.290956,10.24005,0.003573472,13.789902,10.655322,0.009146984,14.703895,9.38086,0.003911189,0.8671631,6.2034497,0.004943233,0.4667478,0.5027525,0.58471775,0.57844,0.78908604,0.48490697,0.35894418,0.368151,0.41945952,0.31636548,0.29893145,0.39947107,5w2PBowfXDbOpzLpLrB3kt
